id,name,x,y,z,xu,yu
1,Beijing US Embassy,116.468,39.955,46,454558.7286,4422898.159
2,Temple of Heaven,116.407,39.886,36,449297.4599,4415272.716
3,Haidian Beijing Botanical Garden,116.207,40.002,40,432311.3532,4428280.317
4,Chaoyang Olympic Sports Center116.397,116.397,39.982,43,448514.4209,4425933.484
5,Chaoyang Agricultural Exhibition Hall,116.461,39.937,52,453948.7466,4420903.926
6,Liangxiang,116.136,39.742,123,425971.8891,4399479.244
7,Fengtai Yungang ,116.146,39.824,85,426915.5154,4408572.073
8,Shunyi New Town ,116.655,40.127,154,470605.5031,4441910.167
12,Donggaocun Zhen,117.12,40.1,172,510228.2075,4438863.236
13,Tongzhou New Town,116.663,39.886,216,471185.9716,4415158.798
14,Huangcunzhen,116.404,39.718,226,448916.7891,4396628.521
15,BDA,116.506,39.795,216,457706.3853,4405121.325
16,Yufazhen,116.3,39.52,204,439831.6549,4374718.018
17,Yongledianzhen,116.783,39.712,198,481399.354,4395815.337
18,Xianghe EPA,117.009,39.766,204,500770.8532,4401786.072
19,Badaling Northwest,115.988,40.365,46,414076.9539,4468761.409
20,East Fourth Ring Road ,116.483,39.939,181,455829.6848,4421114.786
21,Yanqing town,115.972,40.453,59,412832.0851,4478545.159
22,Miyun Reservoir,116.911,40.499,63,492458.5743,4483147.536
23,Haidian Wanliu,116.287,39.987,180,439126.7172,4426557.75
24,Yongdingmen Inner St ,116.394,39.876,196,448178.4025,4414170.284
25,Jianshe Road,117.304,39.719,55,526055.4251,4396613.896
26,"Ligong, Chengde",117.938,41.011,70,578874.616,4540401.856
27,Fengning County City Hall,116.652,41.215,59,470827.9539,4562682.92
28,Xiahuayuan EPA,115.296,40.508,61,355627.2927,4485537.451
29,Yuxian Secondary School,114.596,39.846,61,294324.1188,4413430.478
30,Zhouzhou Monitoring Stations,116.034,39.492,80,416933.9909,4371822.019
31,"Guan Party School, Langfang ",116.305,39.445,70,440197.2312,4366391.048
32,Guyuan County welfare,115.681,41.668,63,390196.4439,4613756.043
